cycle,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,time,capacity
0,3.437,-2.033,27.71,2.033,3.537,950,1.802
0,3.468,-2.047,27.5,2.047,3.568,960,1.8138
0,3.464,-2.065,28.15,2.065,3.564,970,1.804
0,3.456,-1.823,27.9,1.823,3.556,980,1.8077
0,3.448,-1.96,28.21,1.96,3.548,990,1.796
0,3.421,-2.126,27.68,2.126,3.521,1000,1.8009
0,3.438,-1.908,27.92,1.908,3.538,1010,1.7964
0,3.436,-1.788,28.08,1.788,3.536,1020,1.8077
0,3.424,-1.897,28.13,1.897,3.524,1030,1.7965
0,3.433,-2.152,28.07,2.152,3.533,1040,1.7954
0,3.442,-2.048,28.32,2.048,3.542,1050,1.7859
0,3.468,-1.873,28.03,1.873,3.568,1060,1.7831
0,3.431,-2.071,28.25,2.071,3.531,1070,1.7817
0,3.429,-1.956,28.34,1.956,3.529,1080,1.7879
0,3.42,-1.923,28.46,1.923,3.52,1090,1.7778
0,3.38,-2.093,28.54,2.093,3.48,1100,1.7829
0,3.415,-2.006,28.22,2.006,3.515,1110,1.7988
0,3.414,-2.324,28.17,2.324,3.514,1120,1.7847
0,3.459,-2.102,28.78,2.102,3.559,1130,1.7707
0,3.403,-2.025,28.63,2.025,3.503,1140,1.784
0,3.41,-2.125,28.45,2.125,3.51,1150,1.7659
0,3.4,-1.837,28.95,1.837,3.5,1160,1.7476
0,3.375,-2.143,28.7,2.143,3.475,1170,1.7559
0,3.418,-2.044,28.96,2.044,3.518,1180,1.7453
0,3.408,-1.987,28.77,1.987,3.508,1190,1.7585
0,3.406,-1.856,29.21,1.856,3.506,1200,1.7602
0,3.369,-2.144,29.19,2.144,3.469,1210,1.7748
0,3.412,-1.884,28.83,1.884,3.512,1220,1.7593
0,3.354,-1.999,29.11,1.999,3.454,1230,1.7518
0,3.391,-2.098,29.09,2.098,3.491,1240,1.7603
0,3.42,-1.954,29.27,1.954,3.52,1250,1.7279
0,3.354,-1.98,28.85,1.98,3.454,1260,1.7504
0,3.36,-2.06,29.22,2.06,3.46,1270,1.7537
0,3.37,-1.993,29.33,1.993,3.47,1280,1.7292
0,3.356,-2.039,28.81,2.039,3.456,1290,1.7534
0,3.332,-1.989,28.96,1.989,3.432,1300,1.7434
0,3.362,-1.934,28.83,1.934,3.462,1310,1.7338
0,3.337,-1.841,29.23,1.841,3.437,1320,1.7423
0,3.365,-2.124,29.46,2.124,3.465,1330,1.7567
0,3.335,-1.787,29.66,1.787,3.435,1340,1.7338
0,3.382,-2.195,29.41,2.195,3.482,1350,1.7325
0,3.332,-2.015,29.77,2.015,3.432,1360,1.7234
0,3.339,-1.941,29.2,1.941,3.439,1370,1.7175
0,3.359,-1.972,29.18,1.972,3.459,1380,1.7323
0,3.316,-2.062,29.55,2.062,3.416,1390,1.7134
0,3.343,-2.021,29.68,2.021,3.443,1400,1.7207
0,3.362,-2.049,29.63,2.049,3.462,1410,1.7132
0,3.301,-2.059,29.27,2.059,3.401,1420,1.7208
0,3.335,-1.915,29.7,1.915,3.435,1430,1.7173
0,3.334,-1.964,29.5,1.964,3.434,1440,1.7224
0,3.342,-2.069,29.93,2.069,3.442,1450,1.7049
0,3.299,-1.91,29.91,1.91,3.399,1460,1.7053
0,3.295,-1.969,29.69,1.969,3.395,1470,1.6962
0,3.329,-1.919,29.82,1.919,3.429,1480,1.6996
0,3.322,-1.937,29.75,1.937,3.422,1490,1.7058
1,4.2,-2.092,24.57,2.092,4.3,0,1.9437
1,4.163,-2.135,24.46,2.135,4.263,10,1.9516
1,4.181,-2.098,24.59,2.098,4.281,20,1.9503
1,4.174,-1.895,24.89,1.895,4.274,30,1.9456
1,4.138,-2.095,24.71,2.095,4.238,40,1.9352
1,4.15,-1.737,24.73,1.737,4.25,50,1.9316
1,4.081,-1.951,24.49,1.951,4.181,60,1.9357
1,4.056,-1.982,24.95,1.982,4.156,70,1.9454
1,4.03,-2.086,24.98,2.086,4.13,80,1.9368
1,4.08,-1.93,25.32,1.93,4.18,90,1.9253
1,4.048,-2.058,24.87,2.058,4.148,100,1.9344
1,4.02,-1.988,25.02,1.988,4.12,110,1.8958
1,4.012,-1.744,25.07,1.744,4.112,120,1.9335
1,3.97,-2.01,25.38,2.01,4.07,130,1.9023
1,4.028,-1.885,25.09,1.885,4.128,140,1.9137
1,3.968,-2.07,25.21,2.07,4.068,150,1.9038
1,3.955,-2.003,25.31,2.003,4.055,160,1.8997
1,3.955,-1.823,25.27,1.823,4.055,170,1.9219
1,3.937,-2.063,25.19,2.063,4.037,180,1.9033
1,3.92,-1.819,25.36,1.819,4.02,190,1.9091
1,3.888,-1.929,25.58,1.929,3.988,200,1.9029
1,3.901,-2.056,25.2,2.056,4.001,210,1.9058
1,3.918,-1.937,25.48,1.937,4.018,220,1.8994
1,3.896,-1.903,25.36,1.903,3.996,230,1.8835
1,3.89,-1.938,25.78,1.938,3.99,240,1.904
1,3.838,-2.157,25.28,2.157,3.938,250,1.8867
1,3.818,-2.073,25.51,2.073,3.918,260,1.8738
1,3.825,-2.025,25.75,2.025,3.925,270,1.8827
1,3.818,-2.007,26.03,2.007,3.918,280,1.8997
1,3.829,-1.938,25.74,1.938,3.929,290,1.8908
1,3.764,-1.982,25.69,1.982,3.864,300,1.8765
1,3.819,-2.134,26.22,2.134,3.919,310,1.8742
1,3.776,-1.962,25.6,1.962,3.876,320,1.8721
1,3.761,-1.939,25.49,1.939,3.861,330,1.8938
1,3.741,-1.944,26.06,1.944,3.841,340,1.8745
1,3.719,-1.892,25.92,1.892,3.819,350,1.8726
1,3.76,-1.917,25.86,1.917,3.86,360,1.8763
1,3.737,-1.954,26.25,1.954,3.837,370,1.8661
1,3.701,-2.007,26.2,2.007,3.801,380,1.8587
1,3.693,-2.166,26.08,2.166,3.793,390,1.857
1,3.704,-1.957,25.98,1.957,3.804,400,1.856
1,3.737,-1.979,26.45,1.979,3.837,410,1.854
1,3.691,-1.973,26.45,1.973,3.791,420,1.8593
1,3.658,-2.128,26.34,2.128,3.758,430,1.8502
1,3.676,-2.108,26.78,2.108,3.776,440,1.8547
1,3.668,-1.895,26.24,1.895,3.768,450,1.8442
1,3.613,-2.004,26.19,2.004,3.713,460,1.8435
1,3.659,-1.932,26.4,1.932,3.759,470,1.8204
1,3.648,-1.997,26.57,1.997,3.748,480,1.8472
1,3.66,-1.997,26.67,1.997,3.76,490,1.8391
1,3.677,-1.906,26.62,1.906,3.777,500,1.8433
1,3.656,-2.052,26.78,2.052,3.756,510,1.802
1,3.621,-1.99,26.5,1.99,3.721,520,1.8496
1,3.598,-2.046,27.09,2.046,3.698,530,1.8249
1,3.666,-2.043,26.82,2.043,3.766,540,1.8351
1,3.61,-2.031,27.11,2.031,3.71,550,1.8113
1,3.603,-1.978,27.0,1.978,3.703,560,1.8255
1,3.596,-2.048,27.06,2.048,3.696,570,1.8065
1,3.595,-1.874,27.13,1.874,3.695,580,1.8084
1,3.582,-2.089,27.15,2.089,3.682,590,1.8315
1,3.568,-2.019,27.23,2.019,3.668,600,1.8081
1,3.563,-2.044,27.41,2.044,3.663,610,1.8098
1,3.568,-1.855,27.23,1.855,3.668,620,1.814
1,3.553,-1.98,27.37,1.98,3.653,630,1.808
1,3.544,-1.897,27.26,1.897,3.644,640,1.8022
1,3.556,-2.149,27.6,2.149,3.656,650,1.802
1,3.543,-1.973,27.22,1.973,3.643,660,1.82
1,3.573,-1.911,27.76,1.911,3.673,670,1.7931
1,3.485,-1.992,27.44,1.992,3.585,680,1.7933
1,3.556,-1.893,27.2,1.893,3.656,690,1.7995
1,3.554,-2.052,27.56,2.052,3.654,700,1.7977
1,3.483,-1.859,27.44,1.859,3.583,710,1.7962
1,3.513,-1.77,27.79,1.77,3.613,720,1.7884
1,3.508,-2.036,27.53,2.036,3.608,730,1.7682
1,3.482,-2.045,27.62,2.045,3.582,740,1.7937
1,3.491,-1.855,27.37,1.855,3.591,750,1.7635
1,3.48,-1.842,27.7,1.842,3.58,760,1.7757
1,3.533,-2.052,27.35,2.052,3.633,770,1.7628
1,3.512,-2.042,27.56,2.042,3.612,780,1.7674
1,3.514,-2.028,28.08,2.028,3.614,790,1.769
1,3.499,-2.134,28.12,2.134,3.599,800,1.7665
1,3.458,-2.092,28.1,2.092,3.558,810,1.7652
1,3.466,-2.1,27.86,2.1,3.566,820,1.7748
1,3.483,-2.077,28.09,2.077,3.583,830,1.7609
1,3.444,-2.003,28.14,2.003,3.544,840,1.7516
1,3.479,-1.977,27.95,1.977,3.579,850,1.7613
1,3.456,-1.845,28.53,1.845,3.556,860,1.7612
1,3.45,-2.1,28.45,2.1,3.55,870,1.7347
1,3.468,-1.902,28.27,1.902,3.568,880,1.7506
1,3.459,-2.021,28.36,2.021,3.559,890,1.7493
1,3.439,-2.005,28.44,2.005,3.539,900,1.737
1,3.466,-1.933,28.03,1.933,3.566,910,1.7514
1,3.417,-2.112,28.44,2.112,3.517,920,1.7338
1,3.448,-1.962,28.39,1.962,3.548,930,1.7343
1,3.444,-1.983,28.37,1.983,3.544,940,1.7289
1,3.422,-1.951,28.56,1.951,3.522,950,1.7285
1,3.431,-1.971,29.02,1.971,3.531,960,1.715
1,3.396,-1.754,28.83,1.754,3.496,970,1.7093
1,3.436,-2.064,28.63,2.064,3.536,980,1.7373
1,3.411,-2.053,28.9,2.053,3.511,990,1.7105
1,3.401,-2.062,29.11,2.062,3.501,1000,1.7068
1,3.429,-2.056,29.06,2.056,3.529,1010,1.6928
1,3.391,-2.064,28.93,2.064,3.491,1020,1.7056
1,3.373,-1.881,28.83,1.881,3.473,1030,1.6964
1,3.367,-1.858,29.15,1.858,3.467,1040,1.7238
1,3.407,-2.057,29.13,2.057,3.507,1050,1.7151
1,3.366,-2.083,29.27,2.083,3.466,1060,1.6958
1,3.424,-1.953,29.26,1.953,3.524,1070,1.7229
1,3.344,-2.055,29.39,2.055,3.444,1080,1.7078
1,3.417,-1.937,29.12,1.937,3.517,1090,1.6924
1,3.384,-1.98,29.53,1.98,3.484,1100,1.6683
1,3.375,-2.152,29.35,2.152,3.475,1110,1.7139
1,3.363,-1.845,29.77,1.845,3.463,1120,1.6748
1,3.379,-1.82,29.26,1.82,3.479,1130,1.6699
1,3.367,-2.061,29.79,2.061,3.467,1140,1.6942
1,3.387,-2.039,29.52,2.039,3.487,1150,1.7061
1,3.364,-1.971,29.4,1.971,3.464,1160,1.6932
1,3.362,-1.967,29.47,1.967,3.462,1170,1.6826
1,3.349,-1.934,29.55,1.934,3.449,1180,1.6806
1,3.352,-1.799,29.74,1.799,3.452,1190,1.6809
1,3.357,-2.018,29.8,2.018,3.457,1200,1.6776
1,3.313,-2.08,29.63,2.08,3.413,1210,1.6705
1,3.318,-2.138,29.78,2.138,3.418,1220,1.6664
1,3.357,-2.073,30.26,2.073,3.457,1230,1.6624
1,3.343,-2.003,30.22,2.003,3.443,1240,1.6531
1,3.333,-1.821,30.0,1.821,3.433,1250,1.6555
1,3.334,-2.052,29.97,2.052,3.434,1260,1.6391
1,3.338,-1.978,30.03,1.978,3.438,1270,1.6527
1,3.317,-2.002,30.17,2.002,3.417,1280,1.6414
1,3.31,-1.881,29.89,1.881,3.41,1290,1.638
1,3.327,-1.747,30.08,1.747,3.427,1300,1.6485
1,3.301,-2.053,29.84,2.053,3.401,1310,1.6583
1,3.326,-2.049,30.3,2.049,3.426,1320,1.6512
1,3.281,-1.896,30.39,1.896,3.381,1330,1.624
1,3.333,-1.932,30.21,1.932,3.433,1340,1.6274
1,3.319,-1.815,30.66,1.815,3.419,1350,1.6444
1,3.312,-1.942,30.15,1.942,3.412,1360,1.6228
1,3.324,-2.036,30.14,2.036,3.424,1370,1.6281
1,3.335,-1.941,30.52,1.941,3.435,1380,1.6335
1,3.32,-1.889,30.73,1.889,3.42,1390,1.616
1,3.26,-1.918,30.9,1.918,3.36,1400,1.6244
1,3.269,-1.949,30.52,1.949,3.369,1410,1.6077
1,3.279,-1.893,30.87,1.893,3.379,1420,1.6127
1,3.29,-1.883,30.69,1.883,3.39,1430,1.6195
1,3.297,-1.862,30.71,1.862,3.397,1440,1.5981
1,3.27,-1.935,30.96,1.935,3.37,1450,1.6161
1,3.286,-2.017,30.96,2.017,3.386,1460,1.6091
1,3.264,-1.985,30.55,1.985,3.364,1470,1.6125
1,3.265,-1.879,31.21,1.879,3.365,1480,1.6069
1,3.246,-2.082,31.23,2.082,3.346,1490,1.616
